,casename,whole tumor,tumor core,enhancing tumor
0,BRATS_00002,0.9381,0.8225,0.8641
1,BRATS_00003,0.938,0.8475,0.8938
2,BRATS_00006,0.9227,0.8442,0.9037
3,BRATS_00008,0.9258,0.8409,0.9143
4,BRATS_00016,0.7712,0.777,0.0
5,BRATS_00017,0.6857,0.6701,
6,BRATS_00170,0.7305,0.7168,0.0
7,BRATS_00172,0.7826,0.7634,0.6154
8,BRATS_00176,0.8564,0.8564,0.8837
9,BRATS_00180,0.8494,0.8514,0.9091
10,BRATS_00181,0.8428,0.837,0.8829
11,BRATS_00338,0.9612,0.9613,0.9846
12,BRATS_00343,0.9723,0.9612,0.9558
13,BRATS_00347,0.9799,0.9721,0.9661
14,BRATS_00348,0.9812,0.9769,0.97
15,BRATS_00351,0.9782,0.9721,0.9702
16,BRATS_00508,0.6781,0.6551,0.0
17,BRATS_00510,0.8991,0.882,0.806
18,BRATS_00511,0.9426,0.9203,0.8615
19,BRATS_00516,0.961,0.9034,0.9418
20,BRATS_00517,0.963,0.9245,0.9401
21,BRATS_00519,0.9528,0.8947,0.9228
22,BRATS_00520,0.9663,0.9105,0.8939
23,BRATS_00675,,,
24,BRATS_00682,0.8103,0.8103,
25,BRATS_00684,0.8882,0.8882,
26,BRATS_00687,0.8988,0.8988,0.0
27,BRATS_00688,0.8487,0.8487,0.1786
28,BRATS_00690,0.9229,0.918,0.902
29,BRATS_00691,0.9346,0.9335,0.9455
30,BRATS_00856,0.9696,0.9512,0.9585
31,BRATS_01014,0.9718,0.9375,0.9581
32,BRATS_01019,0.9737,0.9365,0.9459
33,BRATS_01024,0.9732,0.9455,0.9648
34,BRATS_01176,,,
35,BRATS_01180,0.0,0.0,0.0
36,BRATS_01182,0.7435,0.7953,0.7556
37,BRATS_01184,0.8583,0.8411,0.8641
38,BRATS_01187,0.9156,0.8345,0.879
39,BRATS_01189,0.9249,0.8668,0.8909
40,BRATS_01190,0.9478,0.8833,0.8838
41,BRATS_01195,0.957,0.8974,0.8905
42,BRATS_01344,0.7611,0.7627,
43,BRATS_01350,0.9281,0.9268,0.9412
44,BRATS_01518,0.9251,0.9263,0.0
45,BRATS_01519,0.9078,0.9076,0.4706
46,BRATS_01520,0.9442,0.9442,0.8421
47,BRATS_01525,0.9491,0.9385,0.885
48,BRATS_01680,,,
49,BRATS_01681,,,
50,BRATS_01688,,,
51,BRATS_01689,,,
52,BRATS_01695,0.1622,0.1622,0.0714
53,BRATS_02016,0.9212,0.9015,0.9603
54,BRATS_02020,0.9413,0.9325,0.9597
55,BRATS_02021,0.9473,0.9321,0.973
56,BRATS_02024,0.9653,0.9517,0.9727
57,BRATS_02025,0.9603,0.9467,0.9786
58,BRATS_02026,0.9636,0.9512,0.9808
59,BRATS_02027,0.9697,0.9561,0.9695
60,BRATS_02033,0.9741,0.9667,0.955
61,BRATS_02184,,,
62,BRATS_02189,0.7429,0.7429,
63,BRATS_02196,0.8829,0.8421,0.875
64,BRATS_02201,0.915,0.8616,0.8141
65,BRATS_02202,0.9246,0.8773,0.875
66,BRATS_02356,,,
67,BRATS_02370,0.8824,0.8852,
68,BRATS_02520,,,
69,BRATS_02523,0.7442,0.7442,
70,BRATS_02530,0.822,0.822,
71,BRATS_02533,0.7921,0.7921,
72,BRATS_02534,0.7877,0.793,0.7143
73,BRATS_02537,0.9409,0.9358,0.948
74,BRATS_02689,0.9538,0.9394,0.9551
75,BRATS_02699,0.9642,0.9558,0.9371
76,BRATS_02703,0.9467,0.9413,0.949
77,BRATS_02704,0.9465,0.9411,0.918
78,BRATS_02706,0.937,0.9326,0.9254
79,BRATS_02875,0.0,0.0,
80,BRATS_03034,0.9651,0.9531,0.9766
81,BRATS_03036,0.9572,0.9443,0.9707
82,BRATS_03038,0.9618,0.95,0.9689
83,BRATS_03193,0.7368,0.7368,0.4
84,BRATS_03195,0.7656,0.7809,0.8933
85,BRATS_03198,0.9467,0.7744,0.7004
86,BRATS_03201,0.9482,0.8689,0.9087
87,BRATS_03202,0.942,0.8711,0.9124
88,BRATS_03203,0.9553,0.8874,0.8729
89,BRATS_03204,0.9588,0.9013,0.8963
90,BRATS_03206,0.9692,0.9085,0.9145
91,BRATS_03360,0.8819,0.8819,
92,BRATS_03368,0.8889,0.8889,
93,BRATS_03528,0.9643,0.9302,0.955
94,BRATS_03531,0.9708,0.9401,0.9361
95,BRATS_03532,0.9732,0.947,0.9435
96,BRATS_03537,0.9825,0.963,0.9253
97,BRATS_03540,0.9798,0.9482,0.9042
98,BRATS_03544,0.953,0.935,0.8987
99,BRATS_03698,0.6565,0.623,0.8205
100,BRATS_03704,0.8631,0.8599,0.9699
101,BRATS_03705,0.9005,0.8871,0.9661
102,BRATS_03710,0.9739,0.9634,0.9702
103,BRATS_03712,0.9719,0.9604,0.956
104,BRATS_03713,0.9743,0.962,0.9617
105,BRATS_03715,0.9772,0.9602,0.9493
